,Model,Resampler,Precision,Recall,F1-Score,ROC AUC
36,LightGBM,No Resampling,0.40823970037453183,0.039535727239753356,0.07208994708994709,0.519448339912431
37,LightGBM,SMOTE,0.43666666666666665,0.047515415306492566,0.08570493948315341,0.5234159386243962
38,LightGBM,SMOTE RandomUnderSampler,0.20074580484773152,0.2343126586869786,0.21623430962343096,0.6119549687387401
39,LightGBM,NearMiss,0.019423396158232922,0.6238665215814291,0.037673858284963314,0.6363307159259459
40,LightGBM (balanced),No Resampling,0.051737469831525176,0.8008705114254625,0.0971959325615178,0.8185947182657662
41,LightGBM (balanced),SMOTE,0.15424386040499785,0.3895538628944505,0.22098765432098766,0.682867595288062
42,LightGBM (balanced),SMOTE RandomUnderSampler,0.151123595505618,0.3902792890823359,0.21787992305355877,0.6829168515803965
43,LightGBM (balanced),NearMiss,0.017568079089755294,0.8585418933623504,0.034431595025092736,0.6615869273156119
44,"LightGBM (scaled, balanced)",No Resampling,0.011053245612980047,1.0,0.02186481406580857,0.5011547344110854
45,"LightGBM (scaled, balanced)",SMOTE,0.011028,1.0,0.021815419553167667,0.5
46,"LightGBM (scaled, balanced)",SMOTE RandomUnderSampler,0.011028,1.0,0.021815419553167667,0.5
47,"LightGBM (scaled, balanced)",NearMiss,0.011028,1.0,0.021815419553167667,0.5
48,XGBoost,No Resampling,0.48068669527896996,0.04062386652158143,0.07491638795986622,0.5200672347253418
49,XGBoost,SMOTE,0.38274932614555257,0.05150525933986217,0.0907928388746803,0.5252895225243294
50,XGBoost,SMOTE RandomUnderSampler,0.2075912408759124,0.2578890097932535,0.23002264639275316,0.6234559774155656
51,XGBoost,NearMiss,0.019124553424715623,0.6543344214726151,0.03716292771357353,0.6400537231957099
